Landscape Number,Habitat Amount,Clumpiness
1,29,59
2,50,59
3,57,41
4,5,32
5,49,92
6,65,30
7,30,15
8,18,80
9,6,24
10,24,45
11,5,53
12,58,94
13,20,42
14,46,95
15,17,96
16,20,47
17,67,49
18,51,96
19,36,66
20,54,31
21,21,71
22,35,99
23,19,36
24,19,71
25,50,19
26,23,88
27,10,88
28,10,50
29,20,14
30,36,39
31,66,45
32,43,81
33,30,50
34,69,89
35,5,57
36,48,81
37,10,66
38,6,18
39,18,15
40,61,70
41,68,59
42,65,32
43,64,10
44,23,53
45,25,27
46,20,60
47,29,77
48,7,5
49,36,30
50,33,24
51,18,33
52,68,37
53,12,13
54,48,70
55,19,8
56,51,34
57,38,8
58,14,68
59,40,87
60,27,70
61,66,38
62,27,63
63,17,7
64,58,9
65,49,21
66,58,60
67,15,47
68,47,43
69,54,66
70,66,65
71,41,36
72,58,88
73,10,63
74,36,23
75,6,69
76,52,45
77,51,86
78,59,62
79,34,71
80,41,79
81,64,70
82,10,63
83,19,54
84,27,87
85,11,32
86,36,90
87,23,9
88,11,75
89,64,77
90,62,46
91,32,53
92,46,34
93,25,28
94,39,65
95,42,10
96,67,92
97,41,98
98,27,36
99,12,70
100,21,57
